,Np,Nt,Kp,Kt,A,lp,Rg,E2E,zd,Angle,lb,lt,sd_lp,sd_Rg,sd_zd,sd_E2E,sd_dot
0,9.0,8.0,0.25,0.25,90.0,1.0351388250264117,1.555972865195277,3.845662882011265,3.2697428188023956,1.773536517292599,0.9710052208306539,0.9709333698992724,0.03765235351524893,0.046656870371022986,1.1950350846565219,1.0765556662358453,0.6043218509081669
1,9.0,8.0,0.5,0.25,90.0,1.1358790947443231,1.590347079480642,3.9162874607393103,3.239956626526946,1.7768332689838946,0.9713632735325106,0.9718555118402996,0.03453168695049181,0.05106459192869766,1.1545744025847,1.1292558934649926,0.6079198523877277
2,9.0,8.0,1.0,0.25,90.0,1.3240156327507793,1.6376285875804582,4.049058819700314,3.2875486646942123,1.7410942215214267,0.9703102557794425,0.9709364101586935,0.02673658114216414,0.05711582566029297,1.2134402028417115,1.194653524129323,0.6088186568716959
3,9.0,8.0,2.0,0.25,90.0,1.8041678678913566,1.7703170650696831,4.519095735419238,3.293405873473054,1.84003547869413,0.9714853242618705,0.9706566211636458,0.019067125309607125,0.06182244985313701,1.1550523543190745,1.2945708487368963,0.6449599054999452
4,9.0,8.0,4.0,0.25,90.0,3.2969892035757833,2.021131385421541,5.535030157951664,3.3742170007385233,2.0975770511194343,0.9694091021831976,0.970661640520051,0.02640496227904639,0.04366450387870123,1.1360233795069168,1.099881058169098,0.5182478004493816
5,9.0,8.0,8.0,0.25,90.0,7.138825344958574,2.2487821469964455,6.556573193372394,3.312343089520958,2.4062423656149203,0.970984799657679,0.9701182598867883,0.010837931647267245,0.020371689248612115,1.1238145637758565,0.7735141849696233,0.3980639122748565
6,9.0,8.0,16.0,0.25,90.0,14.459493823741546,2.3699013952866066,7.125676329421244,3.276760369680639,2.606351557249597,0.9703812497232864,0.970651115667523,0.05366238506208064,0.006783703628763674,1.1079297337963738,0.4028271874564161,0.2822603716823824
7,9.0,8.0,32.0,0.25,90.0,31.940045735068818,2.443789496638145,7.46857935994054,3.3068971017165665,2.784780166873379,0.9709688104965077,0.9716976653304016,0.23110941047047256,0.0019882950376623305,1.0728944981626398,0.20014625537172048,0.18281103647244099
8,9.0,8.0,64.0,0.25,90.0,60.17977133094147,2.4715960772246124,7.602388908447407,3.256486491810379,2.879962293978774,0.9705272776863392,0.9710600819167514,0.20187005649158957,0.0015873887778151282,1.079088324295427,0.15192295541056666,0.14546975918641863
9,9.0,8.0,0.25,0.25,80.0,1.016658316133526,1.551453264488469,3.8439013309765784,3.6209185096806387,1.7919831562605597,0.9720296922984994,0.9707689232790825,0.051711494612303156,0.05152167968187143,1.0403594730874017,1.1365244939081454,0.618443020675673
10,9.0,8.0,0.5,0.25,80.0,1.1284735718093262,1.5822081553670957,3.9279685350738003,3.644225773293413,1.7748526516157588,0.9702711417880366,0.9701025013140876,0.04002995953311866,0.0514865115343185,1.0351421580272226,1.1229999963643096,0.6037390831911436
11,9.0,8.0,1.0,0.25,80.0,1.3416813758610953,1.647527030689683,4.1154264873960535,3.7163851516367266,1.7715271027418973,0.9693075380170285,0.9709665990150509,0.010764528212025804,0.054297124434852656,1.0554182117972906,1.1565065505872267,0.576228402769576
12,9.0,8.0,2.0,0.25,80.0,1.9341132226796538,1.8090887355853775,4.726522333311226,3.7965271160279443,1.9294854670814592,0.9711666977511708,0.9720829102335933,0.034298394284117434,0.06039321507346579,1.0297336542074647,1.2278150396038299,0.604414552805547
13,9.0,8.0,4.0,0.25,80.0,3.3907797776423476,2.0300514363378706,5.602744793914952,3.7502879826347306,2.122593578902936,0.9704573920448698,0.9710698116910449,0.009744866118973123,0.041572048942299364,1.0048609460172824,1.0636539912795844,0.5175538879565734
14,9.0,8.0,8.0,0.25,80.0,7.085907791685155,2.2466013611526896,6.537014284337331,3.7329156806187624,2.387913812986389,0.9703773361546851,0.9708400812299107,0.06684135492836824,0.020461916494095577,1.039168535994119,0.7556861534324875,0.40942813451228066
15,9.0,8.0,16.0,0.25,80.0,14.258699511785768,2.3658424167992425,7.107989367758556,3.707442661297405,2.596646595868897,0.9693732826354584,0.9717893701595317,0.09563109214778638,0.006248802645100038,0.9742873356390016,0.4043818241546658,0.2778457043821026
16,9.0,8.0,32.0,0.25,80.0,31.450727353008258,2.440865624097902,7.458986506065957,3.6885656843912176,2.7881199526082563,0.9701122910811901,0.971025406306957,0.24868454244046928,0.0023341126205233737,0.9626019942193702,0.21198767195703194,0.18984122034050388
17,9.0,8.0,64.0,0.25,80.0,60.64487624311508,2.4714125555503985,7.60311068901966,3.7146515817165673,2.877803689994233,0.970327785018088,0.970620005375294,0.1884400692217824,0.0012822320802965538,1.0070887361407728,0.13739578036333883,0.1373855085422666
18,9.0,8.0,0.25,0.25,70.0,1.0553224488162798,1.5580130326033073,3.8805400427230334,4.178787979241518,1.7651156533412116,0.9715213276663954,0.9716391989233828,0.047685016768501905,0.04647320322521871,0.9056740364215606,1.0726710641519155,0.5967570086196632
19,9.0,8.0,0.5,0.25,70.0,1.1195347768792903,1.5814533952557377,3.9142248687123287,4.0957074715868265,1.781213150328736,0.9713611528521197,0.9719569114733699,0.04133010275492159,0.052095803659439006,0.9610001330593168,1.10506061952852,0.5950685509482655
20,9.0,8.0,1.0,0.25,70.0,1.3204214678592274,1.6436403884282347,4.087681142465024,4.082305294590818,1.7762044907076202,0.9706712673041531,0.9700543875777623,0.025497528201841306,0.053650295343347545,0.9311788327411751,1.1667275232521193,0.6079701918090552
21,9.0,8.0,2.0,0.25,70.0,1.8428374692252616,1.784826254735433,4.570991224327259,4.17390918768463,1.8602587409834521,0.9712325652354711,0.9705018188424558,0.024364127334315356,0.05847647545368941,0.9778930003369036,1.202706530251311,0.5859492921894022
22,9.0,8.0,4.0,0.25,70.0,3.2018939428121285,2.009219882077805,5.464004252731878,4.261697427708582,2.070542637693477,0.9702008089975819,0.9715914950753318,0.04667408273776349,0.05209206439537544,0.9165826456090173,1.194154187829003,0.554959066258099
23,9.0,8.0,8.0,0.25,70.0,6.981349622211997,2.2446227815952127,6.5322002356972435,4.230855329341317,2.384074218722401,0.9709533901000804,0.9714575720141811,0.052387735236517165,0.018687555995251355,0.8961499399527221,0.7126664710995122,0.3818355547287219
24,9.0,8.0,16.0,0.25,70.0,14.281547009768872,2.3697026938704906,7.123881587484297,4.145238204331338,2.598537220852158,0.9707735607471297,0.9705306909087341,0.08529444055919656,0.005696237765369951,0.8780010538520852,0.381879306185135,0.2751805322186193
25,9.0,8.0,32.0,0.25,70.0,29.247076436655775,2.437096991501188,7.436884208191457,4.08064828982036,2.76382966652685,0.9705030759669419,0.9720797821506432,0.13136666480474427,0.0025761593719279886,0.8844699159740896,0.22960898760898743,0.19285953086427818
26,9.0,8.0,64.0,0.25,70.0,61.17131359963279,2.4746562397841485,7.609372260664424,4.110880587105788,2.8817359436006416,0.9710542866736764,0.97120859796134,0.144538264021698,0.0014690435614040382,0.8585714083336268,0.14164440662975802,0.13228445902167546
27,9.0,8.0,0.25,0.25,60.0,0.9996759867016413,1.5368410790052722,3.7771974425561448,4.59990634491018,1.7489531947729817,0.9710306422567746,0.9718659337185922,0.04410761135596626,0.04576092726196622,0.8364452187839887,1.0460287493824578,0.5933467937056792
28,9.0,8.0,0.5,0.25,60.0,1.102570541902723,1.574762376131599,3.905716248749549,4.653373744311377,1.7813614183254805,0.9714138187035967,0.9713623919602445,0.03595202745785215,0.05190442594966094,0.8528687842141425,1.1248065424158216,0.6254580507002231
29,9.0,8.0,1.0,0.25,60.0,1.2971650657063014,1.6284098169559744,4.0026413002772445,4.671764103193613,1.7175946094842927,0.9713160549422507,0.971120446111936,0.029351926260196184,0.05237844218036781,0.8318454005068663,1.1638601311593835,0.6090269788238467
30,9.0,8.0,2.0,0.25,60.0,1.7915101474067354,1.7676230411188476,4.4995951938220875,4.717705449920159,1.8095818317639285,0.9706841288646314,0.9706438192440162,0.039150923292299994,0.055795283222337407,0.8169115162483366,1.2157467983544987,0.5794872749191835
31,9.0,8.0,4.0,0.25,60.0,3.363585555784471,2.0262562794702697,5.588751894654805,4.730310595429142,2.129095328980233,0.9697701013972253,0.9701859576717561,0.008690329207779205,0.04287410747102545,0.8231404257961106,1.0903021519829634,0.5211800232319064
